documentid,property,value
1177300,罚息,28593.01
1177300,复利,1092.14
1179175,医疗费用,10000
1181249,医疗费用,10000
1181249,医疗费用,10000
1181249,鉴定费,990
1189300,借款,50000
1189300,利息,5108.91
1189300,借款,50000
1189300,借款,50000
1190410,租金,3733.40
1190410,房屋使用费,13727.58
1190410,电费,354.90
1190410,违约金,16863
1190650,借款,797690.64
1203483,电费,13660.80
1205173,借款,230000
1205412,医疗费,4957.2
1205412,住院伙食补助费,120
1205412,营养费,1000
1205412,误工费,16786
1205412,护理费,3705
1205412,交通费,400
1205412,残疾赔偿金,47617
1205412,鉴定费,800
1205418,医疗费,2886.7
1205418,误工费,2849.4
1205418,护理费,975
1205418,交通费,200
1205418,精神损害抚慰金,1000
1205430,医疗费,3922.8
1205430,精神损害抚慰金,6000
1205430,残疾辅助器具费,650
1205430,残疾赔偿金,46783.6
1205430,医疗费,36876.45
1205430,住院伙食补助费,510
1205430,营养费,2000
1205430,鉴定费,800
1205430,误工费,15805
1205430,护理费,6825
1205430,交通费,700
1205430,残疾赔偿金,46783.6
1206544,医疗费,556.3
1206544,误工费,1026.2
1206544,车辆损失费,1800
1207235,租金,19383.28
1207431,医疗费,7281.75
1207431,交通费,300
1207431,医疗费,1013.09
1208438,残疾赔偿金,160752
1208438,护理费,4800
1208438,交通费,350
1208438,误工费,14800
1208438,精神抚慰金,10000
1208438,住院伙食补助费,500
1208438,营养费,3600
1208438,住院伙食补助费,500
1208438,精神抚慰金,10000
1208438,住院伙食补助费,500
1208438,鉴定费,1800
1208438,律师费,7000
1209224,医疗费,10000
1209224,护理费,5397
1209224,残疾赔偿金,25755
1209224,交通费,300
1209224,精神损害抚慰金,500
1209224,医疗费,10000
1209224,护理费,5397
1209224,残疾赔偿金,25755
1209224,交通费,300
1209224,精神损害抚慰金,500
1209224,医疗费,37960
1209224,住院伙食补助费,504
1209224,医疗费,16268
1209224,住院伙食补助费,216
1209224,鉴定费,750
1209224,鉴定费,1750
1210526,残疾赔偿金,80376
1210526,精神损害抚慰金,5000
1210526,衣物损失,200
1210526,车辆损失,300
1210526,误工费,24624
1210526,住院伙食补助费,470
1210526,营养费,1800
1210526,误工费,15376
1210526,护理费,1200
1210526,车辆损失,300
1210526,鉴定费,2300
1210526,精神损害抚慰金,5000
1221170,借款,27014.75
1224882,借款,500000
1224882,违约金,100000
1225298,催款费用,290
1226126,交通费,500
1228012,借款,100000
1228012,借款,100000
1228072,借款,50000
1228072,借款,50000
1230002,利息,1106.38
1230002,滞纳金,596.48
1230008,利息,3094.15
1230008,滞纳金,448.39
1230014,利息,809.1
1230014,滞纳金,371.84
1230026,利息,3101.66
1230026,滞纳金,3860.6
1249882,其他损失,39563.14
1250223,医疗费,10000
1250223,其他损失,53121.30
1250223,其他损失,11727.85
1250343,其它损失,249831.2
1250814,医疗费,6941.65
1250814,误工费,17262
1250814,护理费,5850
1250814,交通费,600
1250814,住院伙食补助费,320
1250814,交通费,600
1250814,残疾赔偿金,16196
1250814,精神损害抚慰金,8000
1250814,鉴定费,1600
1250814,交通费,600
1250991,其他损失,447063.54
1250991,其他损失,44706.35
1250991,其他损失,44706.35
1251096,其他损失,24761
1251157,车辆损失费,2000
1251157,其他损失,34324
1251210,透支款,4990.97
1251215,车辆损失费,2000
1251215,医疗费,10000
1251215,其他损失,36761.70
1251215,医疗费,8056.02
1251215,第三者责任险,6444.82
1251215,垫付款,3359.23
1251216,透支款,2978.5
1251221,透支款,5999.64
1251227,透支款,2158.27
1251238,透支款,6160.56
1251245,透支款,2925.71
1251251,透支款,3896.27
1251257,透支款,3954.13
1251263,透支款,6052.89
1251274,透支款,5971.42
1251280,透支款,6442.8
1251285,透支款,4994.98
1251290,透支款,4471.08
1251295,透支款,2762.35
1251300,透支款,6894.81
1251305,透支款,3481.48
1251310,透支款,4525.31
1251315,透支款,2033.23
1251320,透支款,3403.36
1251325,透支款,2712.69
1251331,透支款,5793.77
1251505,医疗费,10000
1251505,误工费,11071.13
1251505,护理费,5850
1251505,交通费,400
1251505,残疾赔偿金,46228
1251505,精神损害抚慰金,7000
1251505,其他损失,12516.6
1253924,电费,1392.4
1253960,律师费,3000
1259133,第三者责任险,100000
1259889,违约金,1807.09
1260373,借款,1250000
1260373,利息,73250
1262654,借款,60000
1262654,利息,19200
1262654,利息,20000
1266452,货款,27594.33
1266482,利息,288.15
1266811,补偿款,330477.5
1268143,医疗费,16479
1268143,误工费,5333.26
1268143,护理费,2533.3
1268143,交通费,400
1268143,鉴定费,2800
1268143,精神损害抚慰金,2000
1270101,借款,9239454.34
1270106,借款,324856.71
1271187,货款,162495
1271187,违约金,32499
1271286,医疗费,10000
1271286,医疗费,47906.42
1271286,精神抚慰金,7000
1271350,借款,238577.14
1271417,借款,221507.89
1274833,借款,500000
1274833,利息,60000
1280077,借款,1038000
1287522,经济补偿金,14000
1287522,工资,4634.484377
1287972,经济补偿金,5400
1287972,工资,745
1297296,借款,1910000
1297296,利息,500000
1297296,利息,1000000
1297502,借款,5400000
1297502,借款,33000000
1300103,借款,6000000
1307218,借款,4987919.6
1309123,货款,76465.31
1324667,医疗费,31787.5
1331033,借款,30000
1331033,借款,30000
1331033,利息,1500
1331084,货款,128521.5
1331084,货款,128521.5
1334032,医疗费,690.3
1334032,误工费,3286.66
1334032,护理费,252
1334032,交通费,400
1334037,医疗费,7550.04
1334037,住院伙食补助费,850
1334037,营养费,340
1334037,误工费,7200
1334037,护理费,656
1334037,交通费,120
1335310,医疗费,2000
1335310,护理费,3370
1335310,误工费,8100
1335310,交通费,500
1335310,伤残赔偿金,35073.35
1335310,精神损害抚慰金,5000
1335310,医疗费,27546.19
1335310,住院伙食补助费,1150
1335310,营养费,900
1335310,鉴定费,4350
1336254,借款,100000
1336254,利息,8000
1336321,货款,3877156.38
1336321,律师费,30000
1336463,租金,426707
1336463,违约金,68350
1336463,租金,137044
1336463,违约金,205566
1337542,医疗费,10000
1337542,残疾赔偿金,96500
1337542,精神损害抚慰金,13500
1337542,衣物损失费,300
1337542,医疗费,96389.49
1337542,残疾辅助器具费,190
1337542,住院伙食补助费,430
1337542,衣物损失费,300
1337542,残疾赔偿金,120515.20
1337542,误工费,11340
1337542,护理费,4500
1337542,营养费,4440
1337542,鉴定费,5300
1337542,律师费,6000
1337542,定损费,1800
1337542,垫付款,72933.81
1337557,租金,8498798
1337557,违约金,6010.14
1337677,医疗费,10000
1337677,误工费,3240
1337677,护理费,1200
1337677,衣物损失费,200
1337677,医疗费,22800.30
1337677,营养费,900
1337677,鉴定费,800
1337677,律师费,2000
1337800,医疗费,101344.40
1337800,精神损害抚慰金,20000
1337800,交通费,4500
1337800,住宿费,2700
1337800,律师费,9000
1337800,医疗费,52194.40
1337800,预付的现金,30000
1337837,经济补偿,8800
1337867,医疗费,3156.38
1337867,护理费,5410.56
1337867,住院伙食补助费,360
1337867,停工留薪期工资,15216
1337867,伤残补助金,17752
1337867,工伤医疗补助金,16908
1337867,一次性伤残就业补助金,21135
1337867,交通费,600
1339519,借款,110000
1339519,借款,110000
1339519,借款,110000
1339529,医疗费用,1500
1339529,医疗费用,46720.41
1339529,死亡伤残赔偿,32510.80
1339529,鉴定费,720
1339529,鉴定费,720
1339529,鉴定费,720
1339620,律师费,190830.80
1340623,借款,413890.01
1340676,鉴定费,12000
1340676,违约金,3834.2
1341252,医疗费,61125.94
1341252,营养费,4440
1341252,住院伙食补助费,900
1341252,残疾赔偿金,40188
1341252,交通费,600
1341252,营养费,4440
1341252,精神损害抚慰金,5000
1341252,医疗费,61125.94
1341252,营养费,4440
1341252,住院伙食补助费,900
1341252,医疗费,61125.94
1341252,营养费,4440
1341252,住院伙食补助费,900
1341252,鉴定费,1800
1341252,鉴定费,1800
1344047,借款,100000
1344542,借款,100000
1344542,利息,28466
1345881,借款,200000
1345997,借款,280000
1345997,利息,106698.91
1346250,租金,70767
1347175,借款,190000
1347175,借款,190000
1347487,借款,100000
1347487,利息,7680
1347906,各项损失,17327.80
1349200,工资,5000
1349200,经济补偿金,1250
1353400,利息,257998.26
1353450,借款,10000000
1358585,借款,700000
1358588,借款,4000000
1359262,医疗费用,118653.80
1359262,死亡伤残赔偿,85633
1359262,鉴定费,3600
1359262,律师费,6000
1359262,医疗费,124816.20
1359262,鉴定费,3600
1359262,护理费,1750
1359262,交通费,357
1359284,医疗费,4670.20
1359284,营养费,450
1359284,交通费,100
1359284,护理费,670
1359284,误工费,1620
1359284,交通费,100
1359284,车辆损失费,977
1359284,医疗费,4670.20
1359284,营养费,450
1359284,交通费,100
1359284,护理费,670
1359284,误工费,1620
1359284,交通费,100
1359284,车辆损失费,977
1359284,医疗费,4670.20
1359284,营养费,450
1359284,交通费,100
1359284,护理费,670
1359284,误工费,1620
1359284,交通费,100
1359284,车辆损失费,977
1359284,鉴定费,800
1359284,律师费,1500
1359284,医疗费,4670.20
1359284,营养费,450
1359284,交通费,100
1359284,护理费,670
1359284,误工费,1620
1359284,交通费,100
1359284,车辆损失费,977
1359284,鉴定费,800
1359284,律师费,1500
1359284,预付的现金,5000
1360797,借款,110000
1362224,借款,84323.29
1362224,利息,19007.15
1362254,借款,100000
1362254,利息,47124.8
1363519,租金,111787
1363519,违约金,1000
1363525,租金,316312
1363525,违约金,5000
1363561,借款,20000
1363663,借款,187000
1363663,借款,187000
1363663,借款,187000
1363663,借款,187000
1363877,借款,295068.36
1363877,利息,51004.3
1367034,租金,10870
1367034,违约金,3968
1367176,借款,46000
1369571,护理费,1500
1369571,医疗费用,41440.13
1369571,医疗费,18283.29
1370173,医疗费,549.19
1370173,误工费,5340
1370173,交通费,142
1370173,营养费,300
1373246,借款,10000000
1373252,借款,7700000
1373257,借款,6000000
1373264,借款,3290552.72
1373881,借款,501800
1373881,律师费,25006
1374050,误工费,6912
1374050,护理费,1170
1374050,住院伙食补助费,780
1374050,营养费,460
1374050,交通费,390
1374050,残疾赔偿金,42048
1374050,精神抚慰金,5000
1374050,鉴定费,700
1375474,借款,320000
1380764,各项损失,18666.47
1380769,各项损失,18081.66
1380782,自费药损失,12045.12
1382982,货款,44741.78
1387107,住院伙食补助费,20000
1387107,医疗费,70011.39
1388402,各项损失,275212.5
1388412,各项损失,98564.65
1390619,案件受理费,13434
1394073,借款,70000
1398692,工资,12858.22
1399297,借款,4000000
1399297,律师费,60000
1401307,医疗费,680.41
1401307,交通费,300
1401485,医疗费,128.8
1401485,住院伙食补助费,108
1401485,误工费,13672
1401485,护理费,810
1401485,残疾赔偿金,64290
1401485,鉴定费,700
1402958,伤残赔偿金,11426.8
1402958,交通费,200
1413175,借款,30000
1413175,借款,50000
1413175,利息,600
1413175,借款,50000
1413175,律师费,6500
1419457,补偿款,6182473
1420681,医疗费,1623.27
1420681,交通费,2000
1420681,精神损害抚慰金,50000
1420681,拖车费,224
1420681,案件受理费,3156
1421357,工资,21762.7
1421357,工资,365
1421357,经济补偿金,134.35
1421357,工资,4891.22
1426951,医疗费,10000
1427030,精神损害抚慰金,1000
1427802,借款,60000
1429442,精神损害抚慰金,1000
1433516,货款,624120.29
1433516,违约金,68697.24
1433516,货款,624120.29
1433522,货款,288799
1433522,违约金,17130.81
1433522,货款,288799
1433528,货款,1295804.40
1433528,违约金,62958.05
1433528,货款,1295804.40
1434839,货款,355000
1434869,鉴定费,2300
1434869,律师费,6000
1437227,医疗费,3379.43
1437227,营养费,2700
1437227,护理费,4500
1437227,残疾赔偿金,17079.90
1437227,精神损害抚慰金,5000
1437227,交通费,360
1437227,鉴定费,2300
1437227,律师费,3000
1437562,医疗费用,10000
1437562,死亡伤残赔偿,110000
1437562,医疗费,97475.53
1437562,住院伙食补助费,820
1437562,营养费,1800
1437562,护理费,3600
1437562,残疾赔偿金,253654.40
1437562,误工费,25999.12
1437562,交通费,300
1437562,鉴定费,5000
1437562,鉴定费,5000
1438202,医疗费用,5000
1438202,死亡伤残赔偿,50091.25
1438202,医疗费用,5000
1438202,死亡伤残赔偿,50091.25
1438202,医疗费,1774.20
1438202,营养费,2700
1438202,住院伙食补助费,250
1438202,鉴定费,1800
1438202,律师费,1000
1438202,医疗费,1774.20
1438202,营养费,2700
1438202,住院伙食补助费,250
1438202,鉴定费,1800
1438202,律师费,1000
1438383,医疗费,48978.95
1438383,护理费,2270
1438383,营养费,1800
1439759,医疗费,10000
1439759,误工费,13455
1439759,护理费,3600
1439759,交通费,253
1439759,医疗费,16741.73
1439759,住院伙食补助费,120
1439759,营养费,1800
1439759,鉴定费,2300
1440461,货款,26400
1440897,残疾赔偿金,80376
1440897,护理费,2400
1440897,误工费,8100
1440897,精神损害抚慰金,2500
1440897,医疗费用,10000
1440897,车辆损失,1000
1440897,医疗费,47803.27
1440897,营养费,1800
1440897,鉴定费,2300
1440897,律师费,2000
1441383,医疗费,62000
1441383,住院伙食补助费,640
1441383,营养费,1800
1441383,护理费,2400
1441383,误工费,12960
1441383,残疾赔偿金,34802
1441383,交通费,341
1441383,残疾辅助器具费,196
1441383,精神损害抚慰金,5000
1441383,营养费,1800
1442884,医疗费,1810.95
1442884,误工费,1200
1445544,鉴定费,2200
1451689,住院伙食补助费,10181.28
1457336,医疗费,1177.48
1457336,误工费,957
1457361,奖励费用,3318649.1
1458253,医疗费用,1686.63
1459017,鉴定费,80968
1459017,医疗费,2964
1467783,鉴定费,1800
1474631,护理费,6000
1474631,住院伙食补助费,400
1474631,营养费,3600
1474631,误工费,14500
1474631,残疾赔偿金,68834
1474631,交通费,300
1474631,精神损害抚慰金,11000
1475299,借款,247605.6
1475346,住院伙食补助费,140
1475346,交通费,100
1488389,各种损失,91584
1495963,借款,400000
1497240,各项损失,2708.2
1497240,案件受理费,3217
1497577,鉴定费,1500
1497577,案件受理费,1310
1498697,医疗费,2043.70
1498697,误工费,443.10
1498697,误工费,443.10
1500447,案件受理费,1537
1501796,借款,60000
1501796,利息,1200
1503699,医疗费,1885.68
1503699,误工费,3421.90
1504622,工资,22401
1504622,经济补偿金,3750
1505542,各项损失,7310.4
1505542,各项损失,27990.32
1508680,交通费,14378.08
1508680,医疗费,3909
1508721,借款,15000
1508721,利息,2300
1510045,医疗费,558.11
1510045,误工费,6570
1510045,交通费,400
1510081,医疗费,1639.41
1513086,鉴定费,1050
1513086,案件受理费,1490
1521428,借款,50000
1521428,借款,50000
1532169,各项损失,173262.10
1532169,精神损害抚慰金,30000
1532174,借款,45000
1532174,案件受理费,7779
1532265,各项损失,213365.35
1533002,医疗费,10000
1533002,误工费,2378.38
1533002,护理费,3706.51
1533002,交通费,600
1533002,医疗费,5889
1533002,住院伙食补助费,1140
1533002,住院伙食补助费,1140
1539128,各项损失,123979.08
1539584,各项损失,224048.04
1542221,借款,596699.72
1542221,利息,75259.81
1545439,鉴定费,2800
1553146,货款,1432950
1570303,借款,1500000
1570653,伤残补助金,30394
1570653,工伤医疗补助金,40521
1570653,一次性伤残就业补助金,62340
1570653,医疗费,25182.39
1570653,护理费,613.26
1570653,住院伙食补助费,360
1570653,鉴定费,200
1570653,交通费,2000
1570653,住宿费,500
1570653,医疗费,16000
1574380,医疗费,74106.70
1574380,误工费,22845
1574380,护理费,14338.38
1574380,护理费,356020
1574380,住院伙食补助费,4410
1574380,营养费,2700
1574380,交通费,882
1574380,鉴定费,1600
1574380,精神抚慰金,56000
1574380,医疗费,74106.70
1574380,误工费,22845
1574380,护理费,14338.38
1574380,护理费,356020
1574380,住院伙食补助费,4410
1574380,营养费,2700
1574380,交通费,882
1574380,鉴定费,1600
1574380,精神抚慰金,56000
1578060,医疗费,5253.4
1578060,护理费,2160
1578060,残疾赔偿金,11192
1578060,交通费,100
1578060,住院伙食补助费,33.6
1578060,鉴定费,540
1578060,医疗费,10506.8
1578060,护理费,4320
1578060,残疾赔偿金,22384
1578060,交通费,200
1578060,住院伙食补助费,67.2
1578060,鉴定费,1080
1578992,医疗费,3029.54
1578992,误工费,5810.05
1578992,伤情鉴定费,140
1578992,伤情鉴定费,140
1578992,鉴定费,1050
1578992,伤残赔偿金,45003
1583154,借款,20000
1591290,货款,289892.11
1593920,违约金,899950.60
1595690,违约金,1150800
1595690,律师费,55238
1595907,利息,1173
1600181,借款,10000000
1600181,借款,10000000
1600181,借款,5000000
1600181,借款,5000000
1600181,借款,6000000
1600181,借款,6000000
1609374,借款,1000000
1609374,借款,1000000
1609374,借款,500000
1613175,护理费,5169.62
1613175,精神抚慰金,3000
1613175,交通费,318
1613175,误工费,7378.70
1613175,营养费,954
1613175,营养费,954
1615968,货款,60000
1615999,误工费,10800
1615999,护理费,6337.5
1615999,营养费,1950
1615999,营养费,1950
1615999,交通费,500
1615999,残疾赔偿金,92456
1615999,精神抚慰金,10000
1615999,鉴定费,790
1617862,医疗费,10000
1617875,误工费,6562.50
1617875,护理费,2195
1617875,住院伙食补助费,450
1617875,住院伙食补助费,120
1617875,精神损害抚慰金,3000
1617875,住院伙食补助费,450
1620697,鉴定费,24673.9
1625489,精神损害抚慰金,110000
1625489,精神损害抚慰金,70794
1626562,医疗费,10000
1626562,车损,2000
1626562,交通费,270
1626562,各项损失,81779.9
1628796,医疗费,30629
1630637,精神损害抚慰金,73709
1630637,住院伙食补助费,3849.51
1630688,医疗费,7180
1630688,护理费,2925
1630688,营养费,900
1630688,住院伙食补助费,360
1631770,借款,192421.25
1631770,利息,5194.58
1631770,律师费,12200
1631790,借款,275000
1631790,利息,54400
1631869,付款损失,6952
1631878,货款,7500
1631882,交通费,15450
1631882,医疗费,6113.50
1631882,住院伙食补助费,234
1631882,医疗费,1500
1632942,借款,50000
1632942,利息,10800
1632949,精神损害抚慰金,112007.20
1632949,住院伙食补助费,9724.54
1632960,交通费,20261.21
1632987,车辆损失,122000
1632987,车辆损失,264100.78
1633206,借款,600000
1633206,借款,200000
1633206,借款,600000
1633206,利息,3920
1633383,借款,30000
1633383,违约金,900
1633915,住宿费,3049
1633915,鉴定费,500
1633915,鉴定费,10000
1634348,借款,289360
1635312,借款,172500
1635312,违约金,110000
1637383,借款,420000
1637383,利息,600
1638004,借款,90000
1638151,车辆损失,2525
1639767,借款,100000
1639767,利息,408.47
1639767,罚息,2766.96
1640269,医疗费,10000
1640269,医疗费,10000
1640269,残疾赔偿金,100000
1640269,医疗费,72910.30
1640269,住院伙食补助费,810
1640269,营养费,3600
1640269,医疗费,310.10
1640269,残疾赔偿金,28601.60
1640269,护理费,4800
1640269,交通费,5810
1640269,误工费,11340
1640269,鉴定费,7600
1640302,医疗费,10000
1640302,车辆损失,800
1640344,垫付款,9000
1640354,借款,700000
1640354,利息,420000
1640450,借款,15000
1640504,借款,20000
1640504,利息,5371
1640619,护理费,15210
1640619,误工费,16902
1640619,残疾赔偿金,44398.2
1640619,精神抚慰金,24800
1640619,交通费,3536
1640619,医疗费,222199.55
1640619,营养费,4680
1640619,营养费,4680
1640619,医疗费,24500
1640675,其他费用,57793
1640698,误工费,9760.50
1640698,护理费,6675
1640698,营养费,900
1640770,借款,400000
1640770,利息,8000
1650432,机动车交通事故责任强制保险,375396.23
1652023,医疗费,10000
1652023,精神损害抚慰金,5000
1652023,残疾赔偿金,87702
1652023,误工费,10920
1652023,护理费,3600
1652023,交通费,200
1652023,医疗费,44259.14
1652023,营养费,1080
1652023,住院伙食补助费,216
1652023,鉴定费,1200
1653535,借款,438755.32
1655879,货款,175800
1655920,货款,78640
1656434,利息,3482.99
1656434,滞纳金,196.07
1661544,货款,840000
1661607,货款,429188.19
1661638,货款,608000
1661656,借款,482300
1662796,租金,19809.3
1662898,借款,750000
1663201,借款,7780455
1663201,利息,49287.47
1663201,利息,648622.18
1663201,律师费,95568
1663238,租金,277630
1665878,借款,210000
1665878,借款,274000
1665878,借款,484000
1667136,货款,417017.34
1667136,律师费,26983.07
1667191,货款,2315000
1667218,货款,204287
1667233,租金,134169.50
1667233,违约金,10922
1667335,货款,36000
1669116,各项损失,100437.3
1669116,各项损失,100437.3
1671034,医疗费,10000
1671034,护理费,1068.47
1671034,误工费,4422.58
1671034,交通费,200
1671034,残疾赔偿金,23088.25
1671034,精神损害抚慰金,1000
1671034,医疗费,2814.40
1671034,住院伙食补助费,156
1671034,精神损害抚慰金,1000
1671034,交通费,200
1672610,车辆损失费,2000
1672610,车辆损失费,10600
1672610,定损费,600
1672610,存车费,176
1672863,租金,17881
1672863,租金,17881
1672880,车辆损失,2000
1672880,车辆损失,11962
1673259,医疗费,3105.89
1673259,交通费,874
1673259,精神抚慰金,50000
1673259,住宿费,1050
1673551,定损费,1200
1673551,定损费,1200
1673551,存车费,180
1675833,精神损害抚慰金,5000
1675833,交通费,1000
1675833,交通费,1000
1676182,鉴定费,12800
1676199,医疗费,1127.95
1676199,误工费,156.49
1676199,医疗费,904
1676213,医疗费,10000
1676213,医疗费,1000
1676213,医疗费,1000
1676649,医疗费,10000
1676649,护理费,7720
1676649,误工费,11900
1676649,交通费,500
1676649,车辆损失费,100
1676649,医疗费,15902.54
1676649,住院伙食补助费,2100
1676649,营养费,1800
1676649,鉴定费,840
1676770,医疗费,9185.02
