documentid,property,value
1151208,机动车交通事故责任强制保险,103095.40
1151766,货款,35990
1151784,房价款,283406.88
1151784,契税,20022
1151784,诉讼费,2900
1151784,利息,303428.88
1151789,医疗费,10000
1151789,精神损害抚慰金,110000
1151789,衣物损失费,570
1151789,医疗费,10000
1151789,交通费,45647.46
1151789,律师费,5900
1151801,违约金,4500000
1151801,电费,22772.06
1151801,电费,369.24
1151801,案件受理费,83754.11
1151824,租金,44000
1151824,房屋使用费,4033
1153999,机动车交通事故责任强制保险,120000
1153999,精神损害抚慰金,10000
1153999,残疾辅助器具费,100000
1153999,精神损害抚慰金,10000
1153999,律师费,76639.27
1153999,律师费,41000
1154562,货款,175759.94
1155483,精神损害抚慰金,74519.60
1155483,营养费,9180.60
1155483,衣物损失,1200
1155483,衣物损失,84900.20
1155483,律师费,3624
1155641,医疗费,88926.6
1155641,医疗费,118568.8
1155641,护理费,8551.23
1155641,护理费,11401.64
1155641,住院伙食补助费,2295
1155641,住院伙食补助费,3060
1155641,误工费,87574.5
1155641,误工费,116766
1155641,残疾赔偿金,395026.5
1155641,护理费,193162.5
1155641,护理费,257550
1155641,交通费,750
1155641,交通费,1000
1155641,残疾辅助器具费,3000
1155641,残疾辅助器具费,4000
1155641,鉴定费用,7620
1155641,鉴定费用,10160
1155641,精神损害抚慰金,37500
1155641,精神损害抚慰金,50000
1156268,误工费,7980
1156268,营养费,10000
1156268,营养费,4372.10
1156268,营养费,35
1156268,鉴定费,900
1156268,律师费,1500
1156268,律师费,6807.10
1156394,违约金,178706.97
1156986,案件受理费,12972
1156986,案件受理费,5000
1156986,案件受理费,520
1157014,借款,190000
1157014,利息,100000
1157014,利息,20000
1157199,利息,29816.2
1157199,利息,29816.2
1157217,货款,65021.26
1157235,货款,780000
1157235,违约金,198440
1157235,货款,780000
1157277,机动车交通事故责任强制保险,10000
1157277,垫付款,694.70
1157349,伤残补助金,22825.8
1157349,工伤医疗补助金,25362
1157349,一次性伤残就业补助金,42270
1157349,停工留薪期工资,4500
1157349,护理费,1489.4
1157349,住院伙食补助费,300
1157349,鉴定费,280
1157349,鉴定费,97027.2
1157444,违约金,3110.28
1157462,违约金,2256.60
1159055,违约金,123333.6
1159055,违约金,3681600
1159055,违约金,3681600
1160246,利息,200
1160246,利息,20000
1162106,利息,28441.48
1162106,利息,559.62
1162106,利息,21103.5
1162242,利息,25280.76
1162242,滞纳金,10762.82
1162395,机动车交通事故责任强制保险,25800
1162395,垫付款,800
1167090,医疗费,832
1167090,误工费,9421
1167090,鉴定费,1400
1168540,电费,42079.4
1168540,电费,42079.4
1171229,利息,3090.87
1171229,利息,7923.63
1171337,医疗费用,10000
1171337,医疗费用,58335.52
1171337,第三者责任险,8571.76
1171361,医疗费用,10000
1171361,营养费,97408.4
1171361,交通费,107408.4
1171361,医疗费用,10000
1171361,营养费,97408.4
1172942,医疗费用,10000
1172942,医疗费用,110000
1172942,精神损害抚慰金,1500
1172942,精神损害抚慰金,121500
1172948,医疗费用,1176.71
1172948,医疗费用,6500
1173050,借款,255393.51
1173050,利息,97036.99
1173050,利息,352430.5
1173500,医疗费用,5000
1173500,医疗费用,27500
1173710,医疗费,10000
1173710,护理费,2539
1173710,交通费,500
1173710,交通费,13039
1173710,医疗费,10000
1173710,医疗费,3039
1173710,营养费,54466.4
1173710,医疗费,13546
1174393,借款,84856.18
1174393,利息,8024.10
1174393,罚息,312.10
1174393,罚息,93192.38
1174703,医疗费,10000
1174703,护理费,2539
1174703,交通费,500
1174703,交通费,13039
1174703,医疗费,10000
1174703,医疗费,3039
1174703,营养费,54466.4
1174703,医疗费,13546
1175417,利息,7286.62
1175417,利息,2733.15
1176328,利息,7610.87
1176328,利息,11711.32
1176334,利息,3015.19
1176334,利息,11126.4
1176340,利息,1023.11
1176340,利息,2535.32
1176468,借款,220897.29
1176468,利息,10208.51
1176468,罚息,144.42
1176468,罚息,293.19
1176468,罚息,231543.41
1176474,借款,116817.30
1176474,利息,4550.37
1176474,罚息,24242.94
1176474,复利,1024.34
1176474,复利,146634.95
1176480,借款,170993.65
1176480,利息,4907.16
1176480,罚息,33186.47
1176480,复利,1016.93
1176480,复利,210104.21
1177288,借款,50557.91
1177288,利息,1653.38
1177288,利息,4963.22
1177300,借款,126176.38
1177300,利息,4508.01
1177300,罚息,28593.01
1177300,复利,1092.14
1177300,复利,160369.54
1179175,医疗费用,10000
1179175,医疗费,86115
1179175,护理费,6000
1179175,误工费,4277
1179175,残疾赔偿金,72938
1179175,精神损害抚慰金,2500
1179175,交通费,400
1179175,交通费,500
1179175,第三者商业责任险,29424.79
1179193,营养费,10055.36
1179193,误工费,10855.36
1181249,机动车交通事故责任强制保险,110000
1181249,医疗费用,10000
1181249,医疗费用,400
1181249,医疗费用,120400
1181249,医疗费用,10000
1181249,鉴定费,990
1189300,借款,50000
1189300,利息,5108.91
1189300,利息,55108.91
1189300,利息,21
1189300,利息,50000
1190410,租金,3733.40
1190410,房屋使用费,13727.58
1190410,电费,354.90
1190410,电费,1632.40
1190410,违约金,16863
1190650,借款,797690.64
1190650,罚息,9251.47
1190650,罚息,806942.11
1190650,律师费,42747
1203483,电费,13660.80
1203483,电费,13958.80
1204435,机动车交通事故责任强制保险,110200
1205173,借款,230000
1205412,医疗费,4957.2
1205412,住院伙食补助费,120
1205412,营养费,1000
1205412,误工费,16786
1205412,护理费,3705
1205412,交通费,400
1205412,残疾赔偿金,47617
1205412,残疾赔偿金,1389
1205412,精神损害抚慰金,6000
1205412,精神损害抚慰金,80585.2
1205412,鉴定费,800
1205418,医疗费,2886.7
1205418,误工费,2849.4
1205418,护理费,975
1205418,交通费,200
1205418,精神损害抚慰金,1000
1205418,精神损害抚慰金,7911.1
1205418,机动车交通事故责任强制保险,6927.46
1205430,医疗费,3922.8
1205430,精神损害抚慰金,6000
1205430,残疾辅助器具费,650
1205430,残疾辅助器具费,280
1205430,残疾赔偿金,46783.6
1205430,残疾赔偿金,555.6
1205430,医疗费,36876.45
1205430,住院伙食补助费,510
1205430,营养费,2000
1205430,鉴定费,800
1205430,误工费,15805
1205430,护理费,6825
1205430,交通费,700
1205430,残疾赔偿金,46783.6
1205430,残疾赔偿金,555.6
1206544,医疗费,556.3
1206544,误工费,1026.2
1206544,车辆损失费,1800
1206544,车辆损失费,3382.5
1207235,租金,19383.28
1207431,医疗费,7281.75
1207431,交通费,300
1207431,交通费,7581.75
1207431,医疗费,1013.09
1207431,医疗费,6568.66
1208438,残疾赔偿金,160752
1208438,护理费,4800
1208438,交通费,350
1208438,误工费,14800
1208438,精神抚慰金,10000
1208438,精神抚慰金,51479.33
1208438,住院伙食补助费,500
1208438,营养费,3600
1208438,住院伙食补助费,500
1208438,精神抚慰金,10000
1208438,住院伙食补助费,500
1208438,鉴定费,1800
1208438,鉴定费,128081.33
1208438,律师费,7000
1208438,律师费,22
1208438,律师费,7022
1209224,医疗费,10000
1209224,护理费,5397
1209224,残疾赔偿金,25755
1209224,交通费,300
1209224,精神损害抚慰金,500
1209224,医疗费,10000
1209224,护理费,5397
1209224,残疾赔偿金,25755
1209224,交通费,300
1209224,精神损害抚慰金,500
1209224,医疗费,37960
1209224,医疗费,5600
1209224,住院伙食补助费,504
1209224,住院伙食补助费,560
1209224,医疗费,16268
1209224,医疗费,2400
1209224,住院伙食补助费,216
1209224,住院伙食补助费,240
1209224,鉴定费,750
1209224,鉴定费,1750
1209224,医疗费,54203
1210496,精神损害抚慰金,3500
1210526,机动车交通事故责任强制保险,10000
1210526,残疾赔偿金,80376
1210526,精神损害抚慰金,5000
1210526,衣物损失,200
1210526,车辆损失,300
1210526,误工费,24624
1210526,误工费,120500
1210526,住院伙食补助费,470
1210526,营养费,1800
1210526,误工费,15376
1210526,护理费,1200
1210526,护理费,90
1210526,交通费,300
1210526,鉴定费,2300
1210526,鉴定费,62641.66
1210526,律师费,5000
1210526,律师费,6322.10
1221170,借款,27014.75
1224882,借款,500000
1224882,违约金,100000
1224882,律师费,10000
1224882,律师费,610000
1225298,催款费用,290
1225298,催款费用,29378
1226126,交通费,500
1226126,交通费,5500
1228012,借款,100000
1228012,借款,100000
1228012,借款,8.4075
1228012,借款,100000
1228012,借款,8.4075
1228012,利息,100000
1228072,借款,50000
1228072,借款,50000
1228072,借款,7.5225
1228072,借款,50000
1228072,借款,7.5225
1228072,利息,50000
1230002,利息,1106.38
1230002,滞纳金,596.48
1230002,滞纳金,11145.01
1230008,利息,3094.15
1230008,滞纳金,448.39
1230008,滞纳金,13434.52
1230014,利息,809.1
1230014,滞纳金,371.84
1230014,滞纳金,8731.66
1230026,利息,3101.66
1230026,滞纳金,3860.6
1230026,滞纳金,46321.65
1237553,误工费,13932
1237553,护理费,11700
1237553,营养费,1800
1237553,住院伙食补助费,990
1237553,交通费,500
1237553,残疾赔偿金,28644
1237553,精神损害抚慰金,8000
1237553,精神损害抚慰金,65566
1237553,借款,3200
1249882,机动车交通事故责任强制保险,120780
1249882,其他损失,39563.14
1249882,其他损失,3199.88
1250223,医疗费,10000
1250223,其他损失,53121.30
1250223,其他损失,63121.30
1250223,其他损失,11727.85
1250223,垫付款,2059.45
1250343,机动车交通事故责任强制保险,120000
1250343,精神损害抚慰金,23000
1250343,其它损失,249831.2
1250343,第三者责任险,199864.96
1250814,医疗费,6941.65
1250814,误工费,17262
1250814,护理费,5850
1250814,交通费,600
1250814,住院伙食补助费,320
1250814,交通费,600
1250814,残疾赔偿金,16196
1250814,精神损害抚慰金,8000
1250814,精神损害抚慰金,2862.5
1250814,鉴定费,1600
1250991,其他损失,447063.54
1250991,其他损失,734712.36
1250991,其他损失,110000
1250991,其他损失,10000
1250991,第三者责任险,380004.01
1250991,其他损失,447063.54
1250991,其他损失,44706.35
1250991,其他损失,734712.36
1250991,其他损失,110000
1250991,其他损失,10000
1251096,其他损失,24761
1251096,垫付款,15000
1251157,车辆损失费,2000
1251157,其他损失,34324
1251157,其他损失,36324
1251210,透支款,4990.97
1251210,利息,1320.92
1251210,滞纳金,292.31
1251215,车辆损失费,2000
1251215,医疗费,10000
1251215,其他损失,36761.70
1251215,其他损失,48761.70
1251215,医疗费,8056.02
1251215,第三者责任险,6444.82
1251215,医疗费,8056.02
1251215,垫付款,3359.23
1251215,垫付款,4970.43
1251215,垫付款,8056.02
1251216,透支款,2978.5
1251216,利息,811.43
1251216,滞纳金,172.63
1251221,透支款,5999.64
1251221,利息,2296.98
1251221,滞纳金,409.75
1251221,滞纳金,24
1251227,透支款,2158.27
1251227,利息,507.82
1251227,滞纳金,125.85
1251238,透支款,6160.56
1251238,利息,1027.18
1251238,滞纳金,27.53
1251245,透支款,2925.71
1251245,利息,1366.57
1251245,滞纳金,249.47
1251245,滞纳金,12
1251251,透支款,3896.27
1251251,利息,655.55
1251251,滞纳金,23.73
1251251,滞纳金,100
1251257,透支款,3954.13
1251257,利息,1582.58
1251257,滞纳金,292.37
1251257,滞纳金,27
1251263,透支款,6052.89
1251263,利息,1871.95
1251263,滞纳金,27.94
1251274,透支款,5971.42
1251274,利息,1690.63
1251274,滞纳金,446.73
1251274,滞纳金,23
1251280,透支款,6442.8
1251280,利息,1607.91
1251280,滞纳金,405.25
1251280,滞纳金,34
1251285,透支款,4994.98
1251285,利息,1606.17
1251285,滞纳金,291.77
1251290,透支款,4471.08
1251290,利息,1225.7
1251290,滞纳金,20.16
1251295,透支款,2762.35
1251295,利息,510.35
1251295,滞纳金,16.44
1251300,透支款,6894.81
1251300,利息,1336.17
1251300,滞纳金,398.94
1251300,滞纳金,108.44
1251305,透支款,3481.48
1251305,利息,917.20
1251305,滞纳金,213.02
1251310,透支款,4525.31
1251310,利息,1059.99
1251310,滞纳金,288.81
1251310,滞纳金,11
1251315,透支款,2033.23
1251315,利息,498.48
1251315,滞纳金,80.93
1251315,滞纳金,80
1251320,透支款,3403.36
1251320,利息,581.25
1251320,滞纳金,113.63
1251325,透支款,2712.69
1251325,利息,715.05
1251325,滞纳金,130.1
1251331,透支款,5793.77
1251331,利息,1973.56
1251331,滞纳金,356.04
1251331,滞纳金,302.58
1251434,罚息,8983755.11
1251505,医疗费,10000
1251505,误工费,11071.13
1251505,护理费,5850
1251505,交通费,400
1251505,残疾赔偿金,46228
1251505,精神损害抚慰金,7000
1251505,精神损害抚慰金,800
1251505,精神损害抚慰金,81349.13
1251505,其他损失,12516.6
1251505,垫付款,6569.88
1253708,违约金,180600
1253708,违约金,180600
1253924,电费,1392.4
1253960,违约金,7075
1253960,违约金,7075
1253960,律师费,3000
1259133,第三者责任险,100000
1259889,违约金,1807.09
1260373,借款,1250000
1260373,借款,200000
1260373,利息,73250
1262654,借款,60000
1262654,利息,19200
1262654,利息,40000
1262654,利息,15
1262654,利息,20000
1262654,利息,10
1266452,货款,27594.33
1266452,货款,27594.33
1266482,利息,288.15
1266811,补偿款,330477.5
1266811,租金,2000
1266822,利息,30000
1266822,利息,36082
1268143,医疗费,16479
1268143,医疗费,6000
1268143,医疗费,22479
1268143,误工费,5333.26
1268143,护理费,2533.3
1268143,交通费,400
1268143,鉴定费,2800
1268143,精神损害抚慰金,2000
1270101,借款,9239454.34
1270101,利息,75274.93
1270101,复利,185.12
1270101,罚息,111.26
1270106,借款,324856.71
1270106,利息,72680.08
1270106,复利,12148.61
1270106,罚息,10642
1271187,货款,162495
1271187,违约金,32499
1271187,违约金,194994
1271286,医疗费,10000
1271286,交通费,72868.70
1271286,交通费,24062.28
1271286,交通费,300
1271286,交通费,600
1271286,精神抚慰金,7000
1271286,精神抚慰金,54906.42
1271286,医疗费,24062.28
1271286,医疗费,300
1271286,医疗费,600
1271286,医疗费,10000
1271350,借款,238577.14
1271350,利息,14654.85
1271350,罚息,1547.54
1271417,借款,221507.89
1271417,利息,10520.08
1271417,罚息,4629.13
1271417,复利,564.81
1274833,借款,500000
1274833,利息,60000
1274833,利息,560000
1280077,借款,1038000
1287522,经济补偿金,14000
1287522,工资,4634.484377
1287522,工资,01
1287972,经济补偿金,5400
1287972,工资,745
1295239,机动车交通事故责任强制保险,13980
1297296,借款,1910000
1297296,借款,410000
1297296,利息,500000
1297296,利息,1000000
1297296,利息,640000
1297502,借款,5400000
1297502,借款,5400000
1297502,借款,33000000
1297502,利息,25000000
1300103,借款,6000000
1300103,利息,540000
1300103,利息,4000000
1300103,利息,1460000
1307218,借款,4987919.6
1309123,货款,76465.31
1309123,违约金,100000
1309123,违约金,100000
1310619,第三者责任险,44189.2
1310619,第三者责任险,176876.5
1323301,各项费用,165640.85
1323301,各项费用,8801
1323301,各项费用,108150.3
1323301,各项费用,48689.55
1323301,各项费用,6030.6
1323301,各项费用,1199
1323301,各项费用,1849.7
1323301,各项费用,2981.9
1324667,医疗费,10000
1324667,护理费,7830
1324667,精神抚慰金,8000
1324667,残疾赔偿金,39945
1324667,交通费,600
1324667,住宿费,315
1324667,第三者责任险,18422.5
1324667,医疗费,7972.5
1324667,营养费,1800
1324667,住院伙食补助费,750
1324667,住院伙食补助费,6000
1324667,鉴定费,1900
1324667,鉴定费,84932.5
1324667,医疗费,31787.5
1329987,机动车交通事故责任强制保险,76494
1331033,借款,30000
1331033,利息,30000
1331033,利息,1500
1331084,货款,128521.5
1331084,滞纳金,128521.5
1334032,医疗费,690.3
1334032,误工费,3286.66
1334032,护理费,252
1334032,交通费,400
1334032,交通费,900
1334032,交通费,5528.96
1334037,医疗费,7550.04
1334037,住院伙食补助费,850
1334037,营养费,340
1334037,误工费,7200
1334037,护理费,656
1334037,交通费,120
1334037,交通费,16680.04
1335310,医疗费,2000
1335310,护理费,3370
1335310,误工费,8100
1335310,交通费,500
1335310,伤残赔偿金,35073.35
1335310,精神损害抚慰金,5000
1335310,精神损害抚慰金,1000
1335310,精神损害抚慰金,55043.35
1335310,医疗费,27546.19
1335310,住院伙食补助费,1150
1335310,营养费,900
1335310,鉴定费,4350
1335310,鉴定费,33946.19
1336254,借款,100000
1336254,利息,8000
1336254,利息,108000
1336321,货款,3877156.38
1336321,违约金,3877156.38
1336321,律师费,30000
1336463,租金,426707
1336463,违约金,68350
1336463,租金,137044
1336463,违约金,205566
1337542,医疗费,10000
1337542,残疾赔偿金,96500
1337542,精神损害抚慰金,13500
1337542,衣物损失费,300
1337542,衣物损失费,120300
1337542,医疗费,96389.49
1337542,残疾辅助器具费,190
1337542,住院伙食补助费,430
1337542,交通费,300
1337542,残疾赔偿金,120515.20
1337542,误工费,11340
1337542,护理费,4500
1337542,营养费,4440
1337542,鉴定费,5300
1337542,鉴定费,243404.69
1337542,鉴定费,194723.75
1337542,律师费,6000
1337542,律师费,4800
1337542,定损费,1800
1337542,定损费,3000
1337542,定损费,29300
1337542,垫付款,72933.81
1337557,租金,8498798
1337557,违约金,6010.14
1337557,违约金,100
1337557,违约金,620000
1337677,医疗费,10000
1337677,误工费,3240
1337677,交通费,28
1337677,护理费,1200
1337677,衣物损失费,200
1337677,衣物损失费,350
1337677,衣物损失费,15018
1337677,医疗费,22800.30
1337677,营养费,900
1337677,鉴定费,800
1337677,鉴定费,24500.30
1337677,律师费,2000
1337677,律师费,979.90
1337677,律师费,1020.10
1337800,医疗费,101344.40
1337800,死亡赔偿金,348020
1337800,丧葬费,28150
1337800,丧葬费,36960
1337800,精神损害抚慰金,20000
1337800,交通费,4500
1337800,住宿费,2700
1337800,住宿费,541674.40
1337800,律师费,9000
1337800,医疗费,52194.40
1337800,医疗费,30000
1337800,医疗费,82194.40
1337837,经济补偿,8800
1337867,医疗费,3156.38
1337867,护理费,5410.56
1337867,住院伙食补助费,360
1337867,停工留薪期工资,15216
1337867,伤残补助金,17752
1337867,工伤医疗补助金,16908
1337867,一次性伤残就业补助金,21135
1337867,交通费,600
1337867,交通费,80537.9
1339519,借款,110000
1339529,医疗费,122181.03
1339529,住院伙食补助费,420
1339529,营养费,4200
1339529,误工费,19827
1339529,护理费,6000
1339529,交通费,300
1339529,残疾赔偿金,160752
1339529,精神损害抚慰金,4000
1339529,残疾辅助器具费,398
1339529,车辆损失费,1300
1339529,衣物损失费,200
1339529,衣物损失费,121500
1339529,鉴定费,720
1339529,鉴定费,116
1339529,鉴定费,80067.21
1339529,鉴定费,1740
1339620,律师费,190830.80
1339620,律师费,23646.16
1340233,商业三者险,8163
1340623,借款,413890.01
1340623,罚息,8584.47
1340623,罚息,18
1340676,鉴定费,12000
1340676,鉴定费,57108.34
1340676,违约金,3834.2
1340676,违约金,45108.34
1340676,违约金,3834.2
1341252,医疗费,61125.94
1341252,营养费,4440
1341252,住院伙食补助费,900
1341252,住院伙食补助费,66465.94
1341252,残疾赔偿金,40188
1341252,交通费,600
1341252,护理费,4440
1341252,精神损害抚慰金,5000
1341252,精神损害抚慰金,50228
1341252,医疗费,61125.94
1341252,营养费,4440
1341252,住院伙食补助费,900
1341252,住院伙食补助费,66465.94
1341252,医疗费,61125.94
1341252,营养费,4440
1341252,住院伙食补助费,900
1341252,住院伙食补助费,66465.94
1341252,鉴定费,1800
1341252,诉讼费,3000
1341252,诉讼费,4800
1341252,鉴定费,1800
1341252,诉讼费,3000
1341252,诉讼费,4800
1344047,借款,100000
1344047,利息,32083.22
1344542,借款,100000
1344542,利息,28466
1344542,利息,28466
1345881,借款,200000
1345997,借款,280000
1345997,利息,106698.91
1345997,利息,15.498
1346250,租金,70767
1346250,租金,15440
1346250,租金,5500
1347175,借款,190000
1347175,利息,190000
1347175,借款,40000
1347487,借款,100000
1347487,利息,7680
1347487,利息,13.95
1347916,利息,49.46
1348235,利息,4400
1348235,利息,2200
1348235,利息,2200
1349200,工资,5000
1349200,工资,25
1349200,经济补偿金,1250
1352654,商业三者险,155649.55
1352654,精神损害抚慰金,10000
1353400,利息,257998.26
1353400,利息,23257998.26
1353450,借款,10000000
1356812,精神损害抚慰金,7000
1356812,律师费,471997.35
1358585,借款,700000
1358585,利息,73170
1358588,借款,4000000
1358588,利息,2770000
1359262,医疗费,125503.80
1359262,营养费,2100
1359262,住院伙食补助费,1050
1359262,残疾赔偿金,160752
1359262,护理费,3424
1359262,误工费,21000
1359262,交通费,457
1359262,精神损害抚慰金,10000
1359262,鉴定费,3600
1359262,鉴定费,207886.80
1359262,律师费,6000
1359262,医疗费,124816.20
1359262,鉴定费,3600
1359262,护理费,1750
1359262,交通费,357
1359262,交通费,74300
1359262,交通费,204823.20
1359284,医疗费,4670.20
1359284,住院伙食补助费,70
1359284,营养费,450
1359284,营养费,5190.20
1359284,营养费,2595.10
1359284,交通费,100
1359284,护理费,670
1359284,误工费,1620
1359284,误工费,2390
1359284,误工费,1195
1359284,衣物损失费,100
1359284,车辆损失费,977
1359284,车辆损失费,1077
1359284,车辆损失费,538.50
1359284,医疗费,4670.20
1359284,住院伙食补助费,70
1359284,营养费,450
1359284,营养费,5190.20
1359284,营养费,2595.10
1359284,交通费,100
1359284,护理费,670
1359284,误工费,1620
1359284,误工费,2390
1359284,误工费,1195
1359284,衣物损失费,100
1359284,车辆损失费,977
1359284,车辆损失费,1077
1359284,车辆损失费,538.50
1359284,医疗费,4670.20
